game_date,season,Visitor/Neutral,Home/Neutral,point_spread_visitor,point_spread_home,spread_odds_visitor,spread_odds_home,ml_odds_visitor,ml_odds_home,total,total_odds_visitor,total_odds_home
2/2/2017,16/17,GSW,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/2017,16/17,LAC,PHX,-3,3,-105,-115,-145,125,220,-115,-105
1/24/2017,16/17,LAC,PHI,-5,5,-110,-110,-200,170,204,-115,-105
1/23/2017,16/17,LAC,ATL,8,-8,-115,-105,260,-320,207,-105,-115
1/14/2017,16/17,LAL,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/2017,16/17,PHX,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/17/2013,12/13,CLE,CHA,2.5,-2.5,-115,-105,#N/A,#N/A,202,-115,-105
4/15/2013,12/13,MIA,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/12/2013,12/13,NYK,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/5/2013,12/13,CLE,BOS,5,-5,-105,-115,175,-210,199,-110,-110
3/20/2013,12/13,MIL,ATL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/17/2013,12/13,ATL,BKN,4.5,-4.5,-115,-105,160,-180,189,-110,-110
3/8/2013,12/13,ATL,BOS,4.5,-4.5,-115,-105,165,-190,188,-115,-105
3/3/2013,12/13,ATL,LAL,6.5,-6.5,-115,-105,210,-250,207,-110,-110
4/5/2013,12/13,CLE,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/31/2013,12/13,TOR,WAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/19/2013,12/13,CLE,UTA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/9/2013,12/13,UTA,CHA,-5,5,-105,-115,-190,165,199,-105,-115
12/30/2012,12/13,UTA,LAC,10.5,-10.5,-110,-110,425,-650,197,-110,-110
1/26/2013,12/13,MIN,CHA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/15/2013,12/13,IND,CHA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/14/2013,12/13,CHA,BOS,11,-11,-110,-110,#N/A,#N/A,193,-105,-115
1/4/2013,12/13,PHI,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/27/2012,12/13,DAL,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/20/2012,12/13,OKC,MIN,-3.5,3.5,-105,-115,-155,135,201,-115,-105
12/28/2012,12/13,TOR,NOP,3,-3,-110,-110,135,-155,183,-110,-110
12/9/2012,12/13,TOR,LAC,11,-11,-115,-105,#N/A,#N/A,202,-110,-110
1/2/2013,12/13,CHI,ORL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/10/2012,12/13,WAS,IND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/3/2012,12/13,SAC,IND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/8/2012,12/13,NYK,CHI,-3,3,-105,-115,#N/A,#N/A,189,-105,-115
12/6/2012,12/13,NYK,MIA,9.5,-9.5,-105,-115,400,-600,199,-115,-105
