Season,Date,Visitor/Neutral,V_PTS,Home/Neutral,H_PTS,OT?
17/18,Mon Mar 19 2018,DEN,141,MIA,149,2OT
16/17,Wed Nov 23 2016,LAL,106,GSW,149,N/A
17/18,Sun Dec 31 2017,LAL,142,HOU,148,2OT
17/18,Fri Nov 17 2017,NOP,114,DEN,146,N/A
15/16,Fri Dec 18 2015,DET,147,CHI,144,4OT
15/16,Wed Apr 13 2016,NOP,109,MIN,144,N/A
16/17,Sat Jan 28 2017,LAC,98,GSW,144,N/A
14/15,Fri Apr 10 2015,DAL,144,DEN,143,2OT
13/14,Fri Mar 28 2014,LAL,107,MIN,143,N/A
17/18,Fri Nov 24 2017,CHI,94,GSW,143,N/A
16/17,Sun Jan 29 2017,NYK,139,ATL,142,4OT
16/17,Sat Feb 25 2017,MIN,130,HOU,142,N/A
15/16,Sat Jan 2 2016,PHX,119,SAC,142,N/A
16/17,Mon Dec 5 2016,IND,106,GSW,142,N/A
12/13,Tue Feb 26 2013,SAC,129,MIA,141,2OT
17/18,Sat Dec 30 2017,MEM,128,GSW,141,N/A
17/18,Wed Feb 7 2018,MIN,138,CLE,140,OT
15/16,Mon Jan 18 2016,HOU,132,LAC,140,OT
17/18,Wed Oct 18 2017,BRK,131,IND,140,N/A
16/17,Fri Dec 30 2016,LAC,116,HOU,140,N/A
16/17,Thu Jan 12 2017,IND,112,DEN,140,N/A
12/13,Tue Feb 5 2013,GSW,109,HOU,140,N/A
14/15,Fri Nov 21 2014,LAL,106,DAL,140,N/A
17/18,Thu Mar 22 2018,MEM,79,CHO,140,N/A
15/16,Wed Feb 10 2016,LAC,134,BOS,139,OT
17/18,Wed Feb 14 2018,LAL,117,NOP,139,N/A
16/17,Sun Apr 2 2017,WAS,115,GSW,139,N/A
15/16,Tue Mar 29 2016,BRK,105,ORL,139,N/A
16/17,Wed Mar 15 2017,LAL,100,HOU,139,N/A
14/15,Fri Nov 14 2014,MIN,91,NOP,139,N/A
16/17,Sat Dec 3 2016,PHX,109,GSW,138,N/A
14/15,Wed Dec 31 2014,PHX,134,OKC,137,OT
17/18,Mon Mar 26 2018,NYK,128,CHO,137,OT
16/17,Sun Mar 26 2017,OKC,125,HOU,137,N/A
16/17,Wed Nov 23 2016,POR,125,CLE,137,N/A
